"sn","chinese","ph","ty","hy","g2","wg","last_name_weight","first_name_weight"
14256,"\350\203\277","\343\204\215\343\204\250\343\204\237","guei","gui","guei","kuei",0,0
14257,"\350\203\277","\343\204\216\343\204\250\343\204\237\313\213","kuei","kui","kuei","kuei",0,0
14258,"\346\231\243","\343\204\223\343\204\234\313\212","jhe","zhe","je","che",0,0
14259,"\346\220\261","\343\204\213\343\204\236\313\212","nai","nai","nai","nai",0,0
14260,"\346\220\261","\343\204\223\313\213","jhih","zhi","jr","chih",0,0
14261,"\351\211\242","\343\204\205\343\204\233","bo","bo","bo","po",0,0
14262,"\347\236\222","\343\204\207\343\204\242\313\212","man","man","man","man",0,0
14263,"\347\236\222","\343\204\207\343\204\243\313\212","men","men","men","men",0,0
14264,"\350\243\203","\343\204\216\343\204\232\313\207","ka","ka","ka","ka",0,0
14265,"\351\225\202","\343\204\214\343\204\241\313\213","lou","lou","lou","lou",0,0
14266,"\350\227\265","\343\204\205\343\204\240\313\207","bao","bao","bau","pao",0,0
14267,"\345\222\223","\343\204\250\343\204\232\313\207","wa","wa","wa","wa",0,0
14268,"\346\253\276","\343\204\247\343\204\241\313\212","you","you","you","yu",0,0
14269,"\346\253\276","\343\204\247\343\204\241\313\213","you","you","you","yu",0,0
14270,"\346\274\213","\343\204\214\343\204\250\343\204\245\313\212","long","long","lung","lung",0,0
14271,"\347\232\205","\343\204\205\343\204\232\313\213","ba","ba","ba","pa",0,0
14272,"\347\232\205","\343\204\206\343\204\232","pa","pa","pa","pa",0,0
14273,"\351\257\276","\343\204\205\343\204\247\343\204\242","bian","bian","bian","pien",0,0
14274,"\345\215\266","\343\204\224\313\207","chih","chi","chr","chih",0,0
14275,"\350\205\237","\343\204\224\313\213","chih","chi","chr","chih",0,0
14276,"\347\252\215","\343\204\221\343\204\247\343\204\240\313\213","ciao","qiao","chiau","chiao",0,0
14277,"\346\237\275","\343\204\224\343\204\245","cheng","cheng","cheng","cheng",0,0
14278,"\346\231\215","\343\204\212\343\204\250\343\204\245\313\212","tong","tong","tung","tung",0,0
14279,"\351\211\253","\343\204\220\343\204\247\343\204\232","jia","jia","jia","chia",0,0
14280,"\347\256\273","\343\204\214\343\204\251\313\213","lyu","lu","liu","lu",0,0
14281,"\351\202\273","\343\204\214\343\204\247\343\204\243\313\212","lin","lin","lin","lin",0,0
14282,"\351\224\231","\343\204\230\343\204\250\343\204\233\313\213","cuo","cuo","cuo","cuo",0,0
14283,"\351\223\203","\343\204\214\343\204\247\343\204\245\313\212","ling","ling","ling","ling",0,0
14284,"\350\256\220","\343\204\224\343\204\241\313\212","chou","chou","chou","chou",0,0
14285,"\345\214\214","\343\204\215\343\204\234\313\212","ge","ge","ge","ke",0,0
14286,"\345\212\263","\343\204\214\343\204\240\313\212","lao","lao","lau","lao",0,0
14287,"\347\217\267","\343\204\250\313\207","wu","wu","wu","wu",0,0
